Middle layer Super Output Areas Code,Middle layer Super Output Areas,shared_ownership
E02000975,Westminster 016,23
E02000976,Westminster 017,11
E02000977,Westminster 018,13
E02000978,Westminster 019,14
E02000979,Westminster 020,27
E02000980,Westminster 021,53
E02000981,Westminster 022,34
E02000982,Westminster 023,58
E02000983,Westminster 024,19
E02003237,Peterborough 001,17
E02003238,Peterborough 002,31
E02003239,Peterborough 003,25
E02003240,Peterborough 004,29
E02003241,Peterborough 005,41
E02003242,Peterborough 006,26
E02003243,Peterborough 007,142
E02003244,Peterborough 008,61
E02003245,Peterborough 009,26
E02003246,Peterborough 010,15
E02003247,Peterborough 011,38
E02003248,Peterborough 012,24
E02003249,Peterborough 013,95
E02003250,Peterborough 014,43
E02003251,Peterborough 015,20
E02003252,Peterborough 016,79
E02003253,Peterborough 017,83
E02003254,Peterborough 018,29
E02003255,Peterborough 019,111
E02003257,Peterborough 021,15
E02003258,Luton 001,7
E02003259,Luton 002,9
E02003260,Luton 003,20
E02003261,Luton 004,7
E02003262,Luton 005,28
E02003263,Luton 006,20
E02003264,Luton 007,4
E02003265,Luton 008,8
E02003266,Luton 009,12
E02003267,Luton 010,8
E02003268,Luton 011,17
E02003269,Luton 012,15
E02003270,Luton 013,17
E02003271,Luton 014,16
E02003272,Luton 015,58
E02003273,Luton 016,38
E02003274,Luton 017,11
E02003276,Luton 019,14
E02003277,Luton 020,35
E02003278,Luton 021,36
E02003279,Southend-on-Sea 001,8
E02003280,Southend-on-Sea 002,39
E02003281,Southend-on-Sea 003,9
E02003282,Southend-on-Sea 004,7
E02003283,Southend-on-Sea 005,30
E02003284,Southend-on-Sea 006,24
E02003285,Southend-on-Sea 007,13
E02003286,Southend-on-Sea 008,7
E02003287,Southend-on-Sea 009,22
E02003288,Southend-on-Sea 010,147
E02003289,Southend-on-Sea 011,10
E02003290,Southend-on-Sea 012,25
E02003291,Southend-on-Sea 013,59
E02003292,Southend-on-Sea 014,54
E02003293,Southend-on-Sea 015,20
E02003294,Southend-on-Sea 016,13
E02003295,Southend-on-Sea 017,15
E02003296,Thurrock 001,5
E02003297,Thurrock 002,4
E02003298,Thurrock 003,10
E02003299,Thurrock 004,4
E02003300,Thurrock 005,36
E02003301,Thurrock 006,29
E02003302,Thurrock 007,11
E02003303,Thurrock 008,32
E02003304,Thurrock 009,12
E02003305,Thurrock 010,10
E02003307,Thurrock 012,5
E02003308,Thurrock 013,33
E02003309,Thurrock 014,9
E02003311,Thurrock 016,27
E02003312,Thurrock 017,40
E02003313,Thurrock 018,22
E02003314,Medway 001,31
E02003315,Medway 002,19
E02003316,Medway 003,115
E02003317,Medway 004,48
E02003318,Medway 005,14
E02003319,Medway 006,37
E02003320,Medway 007,136
E02003321,Medway 008,26
E02003322,Medway 009,129
E02003323,Medway 010,82
E02003324,Medway 011,109
E02003325,Medway 012,22
E02003326,Medway 013,23
E02003327,Medway 014,77
E02003328,Medway 015,116
E02003329,Medway 016,5
E02003330,Medway 017,67
E02003331,Medway 018,19
E02003332,Medway 019,37
E02003333,Medway 020,38
E02003334,Medway 021,11
E02003335,Medway 022,22
E02003336,Medway 023,24
E02003337,Medway 024,36
E02003338,Medway 025,29
E02003339,Medway 026,30
E02003340,Medway 027,23
E02003341,Medway 028,59
E02003342,Medway 029,7
E02003343,Medway 030,12
E02003344,Medway 031,21
E02003345,Medway 032,19
E02003346,Medway 033,80
E02003347,Medway 034,34
E02003348,Medway 035,7
E02003349,Medway 036,14
E02003350,Medway 037,20
E02003351,Medway 038,52
E02003352,Bracknell Forest 001,11
E02003353,Bracknell Forest 002,181
E02003354,Bracknell Forest 003,41
E02003355,Bracknell Forest 004,62
E02003356,Bracknell Forest 005,5
E02003357,Bracknell Forest 006,130
E02003358,Bracknell Forest 007,129
E02003359,Bracknell Forest 008,35
E02003360,Bracknell Forest 009,139
E02003361,Bracknell Forest 010,20
E02003362,Bracknell Forest 011,8
E02003363,Bracknell Forest 012,72
E02003364,Bracknell Forest 013,26
E02003365,Bracknell Forest 014,13
E02003366,Bracknell Forest 015,7
E02003367,West Berkshire 001,20
E02003368,West Berkshire 002,10
E02003369,West Berkshire 003,19
E02003370,West Berkshire 004,23
E02003371,West Berkshire 005,4
E02003372,West Berkshire 006,9
E02003373,West Berkshire 007,40
E02003374,West Berkshire 008,18
E02003375,West Berkshire 009,48
E02003376,West Berkshire 010,21
E02003377,West Berkshire 011,56
E02003378,West Berkshire 012,35
E02003379,West Berkshire 013,64
E02003380,West Berkshire 014,48
E02003381,West Berkshire 015,26
E02003382,West Berkshire 016,41
E02003383,West Berkshire 017,27
E02003384,West Berkshire 018,10
E02003385,West Berkshire 019,271
E02003386,West Berkshire 020,33
E02003387,West Berkshire 021,29
E02003388,West Berkshire 022,26
E02003389,Reading 001,45
E02003390,Reading 002,9
E02003391,Reading 003,11
E02003392,Reading 004,69
E02003393,Reading 005,6
E02003394,Reading 006,65
E02003395,Reading 007,80
E02003396,Reading 008,74
E02003397,Reading 009,11
E02003398,Reading 010,61
E02003400,Reading 012,16
E02003401,Reading 013,38
E02003402,Reading 014,33
E02003403,Reading 015,40
E02003404,Reading 016,21
E02003405,Reading 017,109
E02003406,Reading 018,58
E02003407,Slough 001,62
E02003408,Slough 002,14
E02003409,Slough 003,34
E02003410,Slough 004,26
E02003411,Slough 005,21
E02003412,Slough 006,28
E02003414,Slough 008,84
E02003415,Slough 009,43
E02003416,Slough 010,26
E02003417,Slough 011,51
E02003418,Slough 012,31
E02003419,Slough 013,40
E02003420,Slough 014,39
E02003421,Windsor and Maidenhead 001,8
E02003422,Windsor and Maidenhead 002,23
E02003423,Windsor and Maidenhead 003,21
E02003424,Windsor and Maidenhead 004,31
E02003425,Windsor and Maidenhead 005,88
E02003426,Windsor and Maidenhead 006,17
E02003427,Windsor and Maidenhead 007,54
E02003428,Windsor and Maidenhead 008,23
E02003429,Windsor and Maidenhead 009,9
E02003430,Windsor and Maidenhead 010,15
E02003431,Windsor and Maidenhead 011,11
E02003432,Windsor and Maidenhead 012,4
E02003433,Windsor and Maidenhead 013,11
E02003434,Windsor and Maidenhead 014,42
E02003435,Windsor and Maidenhead 015,2
E02003436,Windsor and Maidenhead 016,6
E02003437,Windsor and Maidenhead 017,16
E02003438,Windsor and Maidenhead 018,12
E02003439,Wokingham 001,12
E02003440,Wokingham 002,33
E02003441,Wokingham 003,12
E02003442,Wokingham 004,51
E02003443,Wokingham 005,50
E02003444,Wokingham 006,32
E02003445,Wokingham 007,28
E02003446,Wokingham 008,12
E02003447,Wokingham 009,203
E02003448,Wokingham 010,155
E02003449,Wokingham 011,21
E02003450,Wokingham 012,171
E02003451,Wokingham 013,82
E02003452,Wokingham 014,144
E02003453,Wokingham 015,34
E02003454,Wokingham 016,29
E02003455,Wokingham 017,253
E02003456,Wokingham 018,92
E02003457,Wokingham 019,7
E02003458,Wokingham 020,5
E02003459,Milton Keynes 001,35
E02003460,Milton Keynes 002,147
E02003461,Milton Keynes 003,38
E02003462,Milton Keynes 004,73
E02003463,Milton Keynes 005,148
E02003464,Milton Keynes 006,89
E02003465,Milton Keynes 007,331
E02003466,Milton Keynes 008,47
E02003467,Milton Keynes 009,30
E02003468,Milton Keynes 010,182
E02003469,Milton Keynes 011,126
E02003470,Milton Keynes 012,54
E02003471,Milton Keynes 013,184
E02003472,Milton Keynes 014,258
E02003473,Milton Keynes 015,303
E02003474,Milton Keynes 016,153
E02003476,Milton Keynes 018,84
E02003478,Milton Keynes 020,336
E02003479,Milton Keynes 021,213
E02003480,Milton Keynes 022,415
E02003481,Milton Keynes 023,123
E02003482,Milton Keynes 024,160
E02003483,Milton Keynes 025,246
E02003484,Milton Keynes 026,350
E02003485,Milton Keynes 027,53
E02003486,Milton Keynes 028,372
E02003487,Milton Keynes 029,45
E02003488,Milton Keynes 030,65
E02003489,Milton Keynes 031,127
E02003490,Milton Keynes 032,217
E02003491,Brighton and Hove 001,12
E02003492,Brighton and Hove 002,6
E02003493,Brighton and Hove 003,15
E02003494,Brighton and Hove 004,10
E02003495,Brighton and Hove 005,22
E02003496,Brighton and Hove 006,16
E02003497,Brighton and Hove 007,22
E02003498,Brighton and Hove 008,27
E02003499,Brighton and Hove 009,38
E02003500,Brighton and Hove 010,9
E02003501,Brighton and Hove 011,23
E02003502,Brighton and Hove 012,26
E02003503,Brighton and Hove 013,16
E02003504,Brighton and Hove 014,56
E02003505,Brighton and Hove 015,37
E02003506,Brighton and Hove 016,38
E02003507,Brighton and Hove 017,25
E02003508,Brighton and Hove 018,21
E02003509,Brighton and Hove 019,26
E02003510,Brighton and Hove 020,56
E02003511,Brighton and Hove 021,22
E02003512,Brighton and Hove 022,19
E02003513,Brighton and Hove 023,12
E02003514,Brighton and Hove 024,8
E02003515,Brighton and Hove 025,53
E02003516,Brighton and Hove 026,10
E02003517,Brighton and Hove 027,158
E02003518,Brighton and Hove 028,55
E02003519,Brighton and Hove 029,11
E02003520,Brighton and Hove 030,56
E02003521,Brighton and Hove 031,20
E02003522,Brighton and Hove 032,27
E02003523,Brighton and Hove 033,46
E02003524,Portsmouth 001,28
E02003525,Portsmouth 002,19
E02003526,Portsmouth 003,22
E02003527,Portsmouth 004,20
E02003529,Portsmouth 006,27
E02003530,Portsmouth 007,46
E02003531,Portsmouth 008,17
E02003532,Portsmouth 009,8
E02003533,Portsmouth 010,12
E02003534,Portsmouth 011,24
E02003535,Portsmouth 012,26
E02003536,Portsmouth 013,31
E02003537,Portsmouth 014,54
E02003538,Portsmouth 015,43
E02003540,Portsmouth 017,78
E02003541,Portsmouth 018,31
E02003542,Portsmouth 019,17
E02003543,Portsmouth 020,29
E02003544,Portsmouth 021,24
E02003545,Portsmouth 022,13
E02003546,Portsmouth 023,30
E02003547,Portsmouth 024,24
E02003548,Portsmouth 025,34
E02003549,Southampton 001,11
E02003550,Southampton 002,22
E02003551,Southampton 003,31
E02003552,Southampton 004,8
E02003553,Southampton 005,14
E02003554,Southampton 006,14
E02003555,Southampton 007,55
E02003556,Southampton 008,14
E02003557,Southampton 009,10
E02003558,Southampton 010,45
E02003559,Southampton 011,13
E02003560,Southampton 012,20
E02003561,Southampton 013,20
E02003562,Southampton 014,40
E02003563,Southampton 015,44
E02003564,Southampton 016,26
E02003565,Southampton 017,26
E02003566,Southampton 018,44
E02003567,Southampton 019,23
E02003568,Southampton 020,19
E02003569,Southampton 021,33
E02003570,Southampton 022,27
E02003571,Southampton 023,54
E02003572,Southampton 024,9
E02003573,Southampton 025,20
E02003574,Southampton 026,23
E02003575,Southampton 027,33
E02003576,Southampton 028,34
E02003578,Southampton 030,22
E02003579,Southampton 031,175
E02003580,Southampton 032,16
E02003581,Isle of Wight 001,23
E02003582,Isle of Wight 002,17
E02003583,Isle of Wight 003,57
E02003584,Isle of Wight 004,8
E02003585,Isle of Wight 005,50
E02003586,Isle of Wight 006,18
E02003587,Isle of Wight 007,17
E02003588,Isle of Wight 008,75
E02003589,Isle of Wight 009,18
E02003590,Isle of Wight 010,13
E02003591,Isle of Wight 011,40
E02003592,Isle of Wight 012,34
E02003593,Isle of Wight 013,17
E02003594,Isle of Wight 014,65
E02003595,Isle of Wight 015,17
E02003596,Isle of Wight 016,12
E02003597,Isle of Wight 017,15
E02003598,Isle of Wight 018,13
E02003599,Central Bedfordshire 001,44
E02003600,Central Bedfordshire 002,25
E02003601,Central Bedfordshire 003,69
E02003602,Central Bedfordshire 004,33
E02003603,Central Bedfordshire 005,106
E02003604,Central Bedfordshire 006,118
E02003605,Central Bedfordshire 007,126
E02003606,Central Bedfordshire 008,81
E02003607,Central Bedfordshire 009,127
E02003608,Central Bedfordshire 010,122
E02003609,Central Bedfordshire 011,110
E02003610,Central Bedfordshire 012,86
E02003611,Central Bedfordshire 013,94
E02003612,Central Bedfordshire 014,100
E02003613,Central Bedfordshire 015,9
E02003614,Central Bedfordshire 016,22
E02003615,Central Bedfordshire 017,91
E02003616,Bedford 001,21
E02003617,Bedford 002,41
E02003618,Bedford 003,34
E02003619,Bedford 004,110
E02003620,Bedford 005,14
E02003621,Bedford 006,11
E02003622,Bedford 007,32
E02003623,Bedford 008,182
E02003624,Bedford 009,22
E02003625,Bedford 010,32
E02003626,Bedford 011,15
E02003627,Bedford 012,122
E02003628,Bedford 013,36
E02003629,Bedford 014,38
E02003630,Bedford 015,61
E02003631,Bedford 016,21
E02003632,Bedford 017,37
E02003633,Bedford 018,107
E02003635,Bedford 020,187
E02003636,Central Bedfordshire 018,17
E02003637,Central Bedfordshire 019,73
E02003638,Central Bedfordshire 020,14
E02003639,Central Bedfordshire 021,33
E02003640,Central Bedfordshire 022,17
E02003641,Central Bedfordshire 023,9
E02003642,Central Bedfordshire 025,46
E02003643,Central Bedfordshire 024,170
E02003644,Central Bedfordshire 026,76
E02003645,Central Bedfordshire 027,19
E02003646,Central Bedfordshire 028,75
E02003647,Central Bedfordshire 029,107
E02003648,Central Bedfordshire 030,18
E02003649,Central Bedfordshire 031,32
E02003650,Central Bedfordshire 032,14
E02003651,Central Bedfordshire 033,32
E02003652,Buckinghamshire 001,124
E02003653,Buckinghamshire 002,30
E02003654,Buckinghamshire 003,21
E02003655,Buckinghamshire 004,54
E02003656,Buckinghamshire 005,19
E02003657,Buckinghamshire 006,36
E02003658,Buckinghamshire 007,60
E02003659,Buckinghamshire 009,92
E02003660,Buckinghamshire 008,42
E02003661,Buckinghamshire 010,19
E02003662,Buckinghamshire 012,22
E02003663,Buckinghamshire 011,242
E02003664,Buckinghamshire 013,77
E02003665,Buckinghamshire 014,82
E02003666,Buckinghamshire 015,120
E02003667,Buckinghamshire 016,36
E02003668,Buckinghamshire 018,19
E02003669,Buckinghamshire 017,53
E02003670,Buckinghamshire 019,57
E02003671,Buckinghamshire 020,29
E02003672,Buckinghamshire 021,86
E02003673,Buckinghamshire 022,66
E02003674,Buckinghamshire 023,8
E02003675,Buckinghamshire 024,26
E02003676,Buckinghamshire 029,7
E02003677,Buckinghamshire 027,38
E02003678,Buckinghamshire 028,9
E02003679,Buckinghamshire 030,20
E02003680,Buckinghamshire 031,10
E02003681,Buckinghamshire 032,10
E02003682,Buckinghamshire 034,32
E02003683,Buckinghamshire 035,75
E02003685,Buckinghamshire 047,21
E02003686,Buckinghamshire 050,20
E02003687,Buckinghamshire 054,2
E02003688,Buckinghamshire 053,21
E02003689,Buckinghamshire 058,8
E02003690,Buckinghamshire 059,67
E02003691,Buckinghamshire 063,50
E02003692,Buckinghamshire 064,48
E02003693,Buckinghamshire 065,36
E02003694,Buckinghamshire 066,29
E02003695,Buckinghamshire 067,105
E02003696,Buckinghamshire 026,30
E02003697,Buckinghamshire 025,36
E02003698,Buckinghamshire 033,18
E02003699,Buckinghamshire 037,15
E02003701,Buckinghamshire 038,101
E02003702,Buckinghamshire 040,22
E02003703,Buckinghamshire 041,42
E02003704,Buckinghamshire 045,8
E02003705,Buckinghamshire 042,15
E02003706,Buckinghamshire 043,91
E02003707,Buckinghamshire 044,43
E02003708,Buckinghamshire 046,28
E02003709,Buckinghamshire 048,42
E02003710,Buckinghamshire 049,44
E02003711,Buckinghamshire 051,84
E02003712,Buckinghamshire 052,53
E02003713,Buckinghamshire 055,7
E02003714,Buckinghamshire 056,28
E02003715,Buckinghamshire 057,5
E02003716,Buckinghamshire 060,6
E02003717,Buckinghamshire 062,20
E02003718,Buckinghamshire 061,13
E02003719,Cambridge 001,93
E02003720,Cambridge 002,25
E02003721,Cambridge 003,79
E02003722,Cambridge 004,34
E02003723,Cambridge 005,27
E02003724,Cambridge 006,36
E02003725,Cambridge 007,33
E02003726,Cambridge 008,30
E02003727,Cambridge 009,54
E02003728,Cambridge 010,31
E02003729,Cambridge 011,26
E02003731,Cambridge 013,49
E02003732,East Cambridgeshire 001,68
E02003733,East Cambridgeshire 002,29
E02003734,East Cambridgeshire 003,104
E02003735,East Cambridgeshire 004,50
E02003736,East Cambridgeshire 005,47
E02003737,East Cambridgeshire 006,129
E02003738,East Cambridgeshire 007,24
E02003739,East Cambridgeshire 008,28
E02003740,East Cambridgeshire 009,44
E02003742,Fenland 001,18
E02003743,Fenland 002,16
E02003744,Fenland 003,26
E02003745,Fenland 004,11
E02003746,Fenland 005,23
E02003747,Fenland 006,45
E02003748,Fenland 007,13
E02003749,Fenland 008,6
E02003750,Fenland 009,25
E02003751,Fenland 010,13
E02003752,Fenland 011,41
E02003753,Huntingdonshire 001,47
E02003754,Huntingdonshire 002,5
E02003755,Huntingdonshire 003,44
E02003756,Huntingdonshire 004,55
E02003757,Huntingdonshire 005,40
E02003758,Huntingdonshire 006,31
E02003759,Huntingdonshire 007,13
E02003760,Huntingdonshire 008,54
E02003761,Huntingdonshire 009,8
E02003762,Huntingdonshire 010,112
E02003763,Huntingdonshire 011,50
E02003764,Huntingdonshire 012,120
E02003765,Huntingdonshire 013,33
E02003766,Huntingdonshire 014,79
E02003767,Huntingdonshire 015,13
E02003768,Huntingdonshire 016,72
E02003769,Huntingdonshire 017,17
E02003770,Huntingdonshire 018,151
E02003771,Huntingdonshire 019,19
E02003772,Huntingdonshire 020,14
E02003773,Huntingdonshire 021,64
E02003774,Huntingdonshire 022,10
E02003775,South Cambridgeshire 001,51
E02003776,South Cambridgeshire 002,49
E02003777,South Cambridgeshire 003,105
E02003778,South Cambridgeshire 004,74
E02003780,South Cambridgeshire 006,178
E02003781,South Cambridgeshire 007,37
E02003784,South Cambridgeshire 010,98
E02003785,South Cambridgeshire 011,70
E02003786,South Cambridgeshire 012,34
E02003787,South Cambridgeshire 013,72
E02003788,South Cambridgeshire 014,82
E02003789,South Cambridgeshire 015,71
E02003790,South Cambridgeshire 016,65
E02003791,South Cambridgeshire 017,47
E02003792,South Cambridgeshire 018,100
E02003793,South Cambridgeshire 019,39
E02004356,Eastbourne 001,51
E02004357,Eastbourne 002,10
E02004358,Eastbourne 003,21
E02004359,Eastbourne 004,11
E02004361,Eastbourne 006,6
E02004362,Eastbourne 007,26
E02004363,Eastbourne 008,23
E02004364,Eastbourne 009,15
E02004365,Eastbourne 010,35
E02004366,Eastbourne 011,15
E02004367,Eastbourne 012,11
E02004368,Hastings 001,20
E02004369,Hastings 002,23
E02004370,Hastings 003,15
E02004371,Hastings 004,10
E02004372,Hastings 005,24
E02004373,Hastings 006,29
E02004374,Hastings 007,5
E02004375,Hastings 008,23
E02004376,Hastings 009,14
E02004377,Hastings 010,34
E02004378,Hastings 011,8
E02004379,Lewes 001,49
E02004380,Lewes 002,70
E02004381,Lewes 003,31
E02004382,Lewes 004,19
E02004383,Lewes 005,8
E02004384,Lewes 006,13
E02004385,Lewes 007,10
E02004386,Lewes 008,13
E02004387,Lewes 009,16
E02004388,Lewes 010,83
E02004389,Lewes 011,22
E02004390,Lewes 012,16
E02004391,Lewes 013,59
E02004392,Rother 001,60
E02004393,Rother 002,38
E02004394,Rother 003,24
E02004395,Rother 004,32
E02004396,Rother 005,24
E02004397,Rother 006,13
E02004398,Rother 007,62
E02004399,Rother 008,27
E02004400,Rother 009,48
E02004401,Rother 010,11
E02004402,Rother 011,34
E02004403,Wealden 001,0
E02004404,Wealden 002,12
E02004405,Wealden 003,53
E02004406,Wealden 004,13
E02004407,Wealden 005,23
E02004408,Wealden 006,52
E02004409,Wealden 007,10
E02004410,Wealden 008,34
E02004411,Wealden 009,24
E02004412,Wealden 010,41
E02004413,Wealden 011,31
E02004414,Wealden 012,39
E02004415,Wealden 013,33
E02004416,Wealden 014,17
E02004417,Wealden 015,56
E02004418,Wealden 016,39
E02004419,Wealden 017,60
E02004420,Wealden 018,103
E02004421,Wealden 019,75
E02004422,Wealden 020,69
E02004423,Wealden 021,11
E02004424,Basildon 001,4
E02004425,Basildon 002,11
E02004426,Basildon 003,9
E02004427,Basildon 004,8
E02004428,Basildon 005,20
E02004429,Basildon 006,16
E02004430,Basildon 007,11
E02004431,Basildon 008,67
E02004432,Basildon 009,7
E02004433,Basildon 010,26
E02004434,Basildon 011,207
E02004435,Basildon 012,41
E02004436,Basildon 013,37
E02004437,Basildon 014,68
E02004438,Basildon 015,51
E02004439,Basildon 016,51
E02004440,Basildon 017,34
E02004441,Basildon 018,59
E02004442,Basildon 019,72
E02004443,Basildon 020,26
E02004444,Basildon 021,38
E02004445,Basildon 022,14
E02004446,Braintree 001,10
E02004447,Braintree 002,13
E02004448,Braintree 003,41
E02004449,Braintree 004,22
E02004450,Braintree 005,15
E02004451,Braintree 006,29
E02004452,Braintree 007,4
E02004453,Braintree 008,39
E02004454,Braintree 009,28
E02004455,Braintree 010,25
E02004456,Braintree 011,25
E02004457,Braintree 012,54
E02004458,Braintree 013,30
E02004459,Braintree 014,17
E02004460,Braintree 015,48
E02004461,Braintree 016,2
E02004462,Braintree 017,54
E02004463,Braintree 018,19
E02004464,Brentwood 001,13
E02004465,Brentwood 002,34
E02004466,Brentwood 003,10
E02004467,Brentwood 004,37
E02004468,Brentwood 005,11
E02004469,Brentwood 006,6
E02004470,Brentwood 007,82
E02004471,Brentwood 008,19
E02004472,Brentwood 009,2
E02004473,Castle Point 001,7
E02004474,Castle Point 002,35
E02004475,Castle Point 003,15
E02004476,Castle Point 004,14
E02004477,Castle Point 005,8
E02004478,Castle Point 006,10
E02004479,Castle Point 007,7
E02004480,Castle Point 008,10
E02004481,Castle Point 009,8
E02004482,Castle Point 010,9
E02004483,Castle Point 011,10
E02004484,Castle Point 012,4
E02004485,Chelmsford 001,119
E02004486,Chelmsford 002,24
E02004487,Chelmsford 003,31
E02004488,Chelmsford 004,90
E02004489,Chelmsford 005,42
E02004490,Chelmsford 006,8
E02004491,Chelmsford 007,13
E02004492,Chelmsford 008,22
E02004493,Chelmsford 009,43
E02004495,Chelmsford 011,16
E02004496,Chelmsford 012,42
E02004497,Chelmsford 013,18
E02004498,Chelmsford 014,43
E02004499,Chelmsford 015,16
E02004500,Chelmsford 016,16
E02004501,Chelmsford 017,7
E02004502,Chelmsford 018,14
E02004503,Chelmsford 019,31
E02004504,Chelmsford 020,6
E02004505,Chelmsford 021,43
E02004506,Colchester 001,9
E02004507,Colchester 002,28
E02004508,Colchester 003,6
E02004512,Colchester 007,28
E02004513,Colchester 008,15
E02004514,Colchester 009,7
E02004515,Colchester 010,35
E02004516,Colchester 011,23
E02004517,Colchester 012,27
E02004518,Colchester 013,21
E02004519,Colchester 014,4
E02004520,Colchester 015,16
E02004521,Colchester 016,12
E02004522,Colchester 017,20
E02004523,Colchester 018,17
E02004524,Colchester 019,9
E02004525,Colchester 020,18
E02004526,Colchester 021,13
E02004527,Epping Forest 001,35
E02004528,Epping Forest 002,8
E02004529,Epping Forest 003,18
E02004530,Epping Forest 004,33
E02004531,Epping Forest 005,21
E02004532,Epping Forest 006,9
E02004533,Epping Forest 007,39
E02004534,Epping Forest 008,18
E02004535,Epping Forest 009,56
E02004536,Epping Forest 010,7
E02004537,Epping Forest 011,12
E02004538,Epping Forest 012,26
E02004539,Epping Forest 013,8
E02004540,Epping Forest 014,6
E02004541,Epping Forest 015,15
E02004542,Epping Forest 016,5
E02004543,Epping Forest 017,34
E02004544,Harlow 001,197
E02004545,Harlow 002,25
E02004546,Harlow 003,21
E02004547,Harlow 004,83
E02004548,Harlow 005,16
E02004549,Harlow 006,7
E02004550,Harlow 007,27
E02004551,Harlow 008,18
E02004552,Harlow 009,7
E02004553,Harlow 010,78
E02004554,Harlow 011,20
E02004555,Maldon 001,15
E02004556,Maldon 002,10
E02004557,Maldon 003,50
E02004558,Maldon 004,32
E02004559,Maldon 005,40
E02004560,Maldon 006,17
E02004561,Maldon 007,15
E02004562,Maldon 008,49
E02004563,Rochford 001,7
E02004564,Rochford 002,22
E02004566,Rochford 004,24
E02004567,Rochford 005,6
E02004568,Rochford 006,18
E02004569,Rochford 007,52
E02004570,Rochford 008,15
E02004571,Rochford 009,8
E02004572,Rochford 010,28
E02004573,Tendring 001,10
E02004574,Tendring 002,19
E02004575,Tendring 003,20
E02004576,Tendring 004,11
E02004577,Tendring 005,18
E02004578,Tendring 006,25
E02004579,Tendring 007,16
E02004580,Tendring 008,48
E02004581,Tendring 009,43
E02004582,Tendring 010,12
E02004583,Tendring 011,13
E02004584,Tendring 012,8
E02004585,Tendring 013,12
E02004586,Tendring 014,11
E02004587,Tendring 015,13
E02004588,Tendring 016,11
E02004589,Tendring 017,14
E02004590,Tendring 018,13
E02004591,Uttlesford 001,69
E02004592,Uttlesford 002,86
E02004593,Uttlesford 003,56
E02004594,Uttlesford 004,63
E02004595,Uttlesford 005,125
E02004596,Uttlesford 006,93
E02004597,Uttlesford 007,81
E02004598,Uttlesford 008,56
E02004599,Uttlesford 009,30
E02004675,Basingstoke and Deane 001,50
E02004676,Basingstoke and Deane 002,12
E02004677,Basingstoke and Deane 003,49
E02004678,Basingstoke and Deane 004,22
E02004679,Basingstoke and Deane 005,174
E02004680,Basingstoke and Deane 006,47
E02004681,Basingstoke and Deane 007,288
E02004682,Basingstoke and Deane 008,80
E02004683,Basingstoke and Deane 009,112
E02004684,Basingstoke and Deane 010,121
E02004685,Basingstoke and Deane 011,88
E02004686,Basingstoke and Deane 012,47
E02004687,Basingstoke and Deane 013,32
E02004688,Basingstoke and Deane 014,25
E02004689,Basingstoke and Deane 015,25
E02004690,Basingstoke and Deane 016,30
E02004691,Basingstoke and Deane 017,48
E02004692,Basingstoke and Deane 018,2
E02004693,Basingstoke and Deane 019,38
E02004694,Basingstoke and Deane 020,54
E02004695,Basingstoke and Deane 021,26
E02004696,Basingstoke and Deane 022,104
E02004697,East Hampshire 001,35
E02004698,East Hampshire 002,46
E02004699,East Hampshire 003,64
E02004700,East Hampshire 004,102
E02004702,East Hampshire 006,27
E02004703,East Hampshire 007,99
E02004704,East Hampshire 008,28
E02004705,East Hampshire 009,69
E02004706,East Hampshire 010,11
E02004707,East Hampshire 011,38
E02004708,East Hampshire 012,83
E02004709,East Hampshire 013,56
E02004710,East Hampshire 014,5
E02004712,Eastleigh 001,14
E02004713,Eastleigh 002,26
E02004714,Eastleigh 003,22
E02004715,Eastleigh 004,75
E02004716,Eastleigh 005,55
E02004717,Eastleigh 006,299
E02004718,Eastleigh 007,50
E02004719,Eastleigh 008,107
E02004720,Eastleigh 009,81
E02004721,Eastleigh 010,183
E02004722,Eastleigh 011,16
E02004723,Eastleigh 012,49
E02004724,Eastleigh 013,109
E02004725,Eastleigh 014,29
E02004726,Eastleigh 015,42
E02004727,Fareham 001,49
E02004728,Fareham 002,71
E02004729,Fareham 003,12
E02004730,Fareham 004,9
E02004731,Fareham 005,9
E02004732,Fareham 006,20
E02004733,Fareham 007,72
E02004734,Fareham 008,17
E02004735,Fareham 009,6
E02004736,Fareham 010,22
E02004737,Fareham 011,25
E02004738,Fareham 012,4
E02004739,Fareham 013,15
E02004740,Fareham 014,10
E02004741,Gosport 001,27
E02004742,Gosport 002,9
E02004743,Gosport 003,17
E02004744,Gosport 004,87
E02004745,Gosport 005,75
E02004746,Gosport 006,112
E02004747,Gosport 007,29
E02004748,Gosport 008,66
E02004749,Gosport 009,3
E02004750,Gosport 010,9
E02004751,Hart 001,42
E02004752,Hart 002,18
E02004753,Hart 003,107
E02004754,Hart 004,55
E02004755,Hart 005,138
E02004756,Hart 006,109
E02004757,Hart 007,11
E02004758,Hart 008,76
E02004759,Hart 009,16
E02004760,Hart 010,140
E02004761,Hart 011,29
E02004764,Havant 003,44
E02004765,Havant 004,9
E02004766,Havant 005,42
E02004767,Havant 006,19
E02004768,Havant 007,8
E02004769,Havant 008,28
E02004770,Havant 009,14
E02004771,Havant 010,32
E02004772,Havant 011,31
E02004774,Havant 013,49
E02004775,Havant 014,59
E02004776,Havant 015,13
E02004777,Havant 016,10
E02004778,Havant 017,21
E02004779,New Forest 001,17
E02004780,New Forest 002,10
E02004781,New Forest 003,27
